"","Site","Sub_Site","Site_SubSite","Overall_Treatment","Site_Treatment","Year","Year_0","Time_Since_Restoration","Tidal_Regime","Marsh_Condition","Plot_count","Elevation_mean","Elevation_se","abiotic_cover_mean","abiotic_cover_se","live_cover_mean","live_cover_se","SPALT_mean","SPALT_se","high_marsh_grams_mean","high_marsh_grams_se","other_mean","other_se","salicornia_mean","salicornia_se","algae_cover_mean","algae_cover_se","richness_mean","richness_se","Canopy_Height_cm_mean","Canopy_Height_cm_se"
"104","Round Marsh","","Round Marsh","Runnel","Round Marsh - Runnel",2024,2014,10,"Microtidal","Panne",15,NA,NA,22.9,2.8,77.1,2.8,31.7,7.7,44.6,9.2,0.5,0.4,0.2,0.1,0,0,2.7,0.2,33.6,1.7
"105","Sapowet","North","Sapowet - North","Reference","Sapowet - North - Reference",2022,2018,4,"Microtidal","Pool",8,0.615,0.009,16.5,3.8,83.5,3.8,3.8,3.8,77.9,6.1,0.8,0.5,1.1,0.9,0,0,2.4,0.3,24.8,1.6
"106","Sapowet","North","Sapowet - North","Reference","Sapowet - North - Reference",2024,2018,6,"Microtidal","Pool",8,NA,NA,19.4,4.8,80.6,4.8,5.2,5,74.4,7.2,0.5,0.5,0.5,0.3,0,0,2.6,0.4,31.6,2.6
"107","Sapowet","North","Sapowet - North","Runnel","Sapowet - North - Runnel",2022,2018,4,"Microtidal","Pool",9,0.626,0.037,51,12.6,49,12.6,13.7,6.4,31.9,11.3,2.2,1.3,1.2,0.6,0,0,1.9,0.5,18.4,4.8
"108","Sapowet","North","Sapowet - North","Runnel","Sapowet - North - Runnel",2024,2018,6,"Microtidal","Pool",9,NA,NA,32.2,2,67.8,2,43.2,8.2,21.6,8.7,1.8,1.2,1.2,0.5,0,0,2.7,0.2,36.9,2.2
"109","Sapowet","South","Sapowet - South","No Action","Sapowet - South - No Action",2022,2022,0,"Microtidal","Pool",10,0.666,0.021,51.7,10.8,48.3,10.8,28.3,8.4,19.8,11.2,8.2,8.2,0,0,7,7,1.6,0.3,20.6,3.4
"110","Sapowet","South","Sapowet - South","No Action","Sapowet - South - No Action",2024,2022,2,"Microtidal","Pool",10,NA,NA,51.3,9.8,48.7,9.8,27.8,7.2,20.6,10.8,45.6,13.7,0.2,0.1,1.5,1.5,1.8,0.3,27.1,4.8
"111","Sapowet","South","Sapowet - South","Runnel","Sapowet - South - Runnel",2022,2022,0,"Microtidal","Pool",9,0.668,0.026,33.7,7.5,66.3,7.5,39.9,12,20.6,10.5,1.9,1.1,4,2.4,0,0,2,0.2,20.7,3.3
"112","Sapowet","South","Sapowet - South","Runnel","Sapowet - South - Runnel",2024,2022,2,"Microtidal","Pool",9,NA,NA,55.9,11.5,44.1,11.5,24.1,7.9,18.3,8.2,39.7,16,0.9,0.5,1.1,1.1,2,0.5,30.7,8.2
"113","Weekapaug","","Weekapaug","No Action","Weekapaug - No Action",2021,2017,4,"Microtidal","Pool",8,0.175,0.019,63.1,11.8,36.2,11.7,11.9,3.1,21.9,10.2,49.2,17.4,2,1.3,4.4,2.6,2.1,0.5,25.5,4.3
"114","Weekapaug","","Weekapaug","No Action","Weekapaug - No Action",2024,2017,7,"Microtidal","Pool",8,NA,NA,59.8,10.4,40.2,10.4,16.8,4.8,18.9,10.4,34,16.7,4.4,3.1,17.2,12.1,2.1,0.4,27,5.4
"115","Weekapaug","","Weekapaug","Reference","Weekapaug - Reference",2021,2017,4,"Microtidal","Pool",8,0.245,0.006,28.1,3.3,71.9,3.3,8.8,2.5,58,5.1,3.2,1.4,1.9,0.9,0.6,0.6,3.6,0.5,27.8,1.5
"116","Weekapaug","","Weekapaug","Reference","Weekapaug - Reference",2024,2017,7,"Microtidal","Pool",8,NA,NA,26.5,4.3,73.5,4.3,10.5,3.7,57.2,5.6,2.2,0.9,3.5,1.7,1.6,1.2,4.4,0.5,26,1.9
"117","Weekapaug","","Weekapaug","Runnel","Weekapaug - Runnel",2021,2017,4,"Microtidal","Pool",12,0.199,0.009,50.7,7.2,49.3,7.2,38.2,7.6,10.2,6.4,8.9,8.3,0.3,0.2,14.2,7.3,1.8,0.4,22.8,3.4
"118","Weekapaug","","Weekapaug","Runnel","Weekapaug - Runnel",2024,2017,7,"Microtidal","Pool",12,NA,NA,50.7,7.1,49.3,7.1,36.3,6.8,11.4,6.1,8.7,8.3,1.2,0.6,20.7,8.9,1.8,0.3,29.8,5.3
"119","Winnapaug","","Winnapaug","No Action","Winnapaug - No Action",2021,2013,8,"Microtidal","Pool",8,0.203,0.016,40,6.8,60,6.8,21.2,4,22.5,7.9,17.8,10.2,16,4.9,0,0,2.8,0.2,27,3.3
"120","Winnapaug","","Winnapaug","No Action","Winnapaug - No Action",2024,2013,11,"Microtidal","Pool",8,NA,NA,32,6.9,68,6.9,35.6,5.3,24.5,8.8,11.5,11.2,7.6,4.1,3.8,3.8,2.9,0.2,33.6,3
"121","Winnapaug","","Winnapaug","Reference","Winnapaug - Reference",2021,2013,8,"Microtidal","Pool",9,0.252,0.011,20.6,1.9,79.4,1.9,9.4,4.7,67.1,5.9,2.2,1.9,0.7,0.3,0,0,3.8,0.6,23.6,1.4
"122","Winnapaug","","Winnapaug","Reference","Winnapaug - Reference",2024,2013,11,"Microtidal","Pool",9,NA,NA,31.6,3.4,68.4,3.4,12.1,6.2,54.1,5.7,0.2,0.2,2,0.6,0,0,3.7,0.5,22.9,1.9
"123","Winnapaug","","Winnapaug","Runnel","Winnapaug - Runnel",2021,2013,8,"Microtidal","Pool",10,0.226,0.025,36.5,6.4,63.5,6.4,25.9,6.7,15.2,7.2,9.4,6.2,19,3.5,0,0,3.4,0.5,23.6,2.1
"124","Winnapaug","","Winnapaug","Runnel","Winnapaug - Runnel",2024,2013,11,"Microtidal","Pool",10,NA,NA,50.4,8.4,49.6,8.4,20.8,5.1,21.1,7.9,17.9,11.4,6.8,4.9,7,5.9,2.4,0.5,23.8,2.7
