"","Site_Treatment","Year","Overall_Treatment","Time_Since_Restoration","Tidal_Regime","Marsh_Condition","Age_Classification","SPALT","AGMAR","ATPAT","IVFRU","LYNAS","LYMAR","PLMAR","RUMAR","SOSEM","SULIN","SYTEN","TRMAR","Canopy_Height_cm","abiotic_cover","live_cover","high_marsh_grams","salicornia","Runnel_Marsh_Precondition","MHT_NAVD88m","MHHT_NAVD88m","Spring_Tide_NAVD88m","Tidal_Range_m","MHT_Difference_m","MHT_Difference_Relative","MHHT_Difference_m","MHHT_Difference_Relative","Spring_Tide_Difference_m","Spring_Tide_Difference_Relative","Platform_Flood_Duration","Platform_HT_Frequency","Platform_Drainage_Depth_m","Root_Flood_Duration","Root_HT_Frequency","Root_Drainage_Depth_m","Drainage_Amplitude_m"
"80","Potters Pond - No Action",2024,"No Action",6,"Microtidal","Pool","Pre-Restoration",21.67,0,0,0,0,0,0,0,0,0,0,0,18.67,61.67,38.33,15,1.67,"",0.264,0.295,0.552,1.056,-0.142,-13.45,-0.173,-16.38,-0.43,-40.72,82.4,75.9,-0.004,90.4,87.9,-0.054,0.229
"81","Potters Pond - Reference",2021,"Reference",3,"Microtidal","Pool","Reference",24,0,0,0,0,0,0,0,0,0,0.56,0,26.89,17.67,82.33,57.78,0,"Pool",0.264,0.295,0.552,1.056,-0.018,-1.7,-0.049,-4.64,-0.306,-28.98,45.8,46.4,0.024,80.5,78.6,-0.026,0.103
"82","Potters Pond - Reference",2024,"Reference",6,"Microtidal","Pool","Reference",30.33,0,0,0,0,0,0,0,0,0,0.11,0,33.22,22,78,43.44,4.11,"Pool",0.264,0.295,0.552,1.056,-0.018,-1.7,-0.049,-4.64,-0.306,-28.98,24,31,0.088,42.7,51.7,0.038,0.104
"83","Potters Pond - Runnel",2021,"Runnel",3,"Microtidal","Pool","Early Restoration",31.37,0,0,0,0.11,0,0,0,0,0,0,0,19.05,52.16,47.84,12.42,3.95,"Pool",0.264,0.295,0.552,1.056,-0.09,-8.52,-0.121,-11.46,-0.378,-35.8,42.3,85.7,0.063,67.4,94.6,0.013,0.079
"84","Potters Pond - Runnel",2024,"Runnel",6,"Microtidal","Pool","Older Restoration",33.58,0,0,0,0.05,0,0,0,0,0,0,0,15.64,46.42,53.58,14.58,5.37,"Pool",0.264,0.295,0.552,1.056,-0.09,-8.52,-0.121,-11.46,-0.378,-35.8,29.2,56.9,0.091,59.1,74.1,0.041,0.112
"85","Round Marsh - No Action",2021,"No Action",7,"Microtidal","Panne","Pre-Restoration",43.08,0,0,0,0,0,0,0,0,0,0,0,26.85,36.5,63.88,14.73,6.08,"Panne",0.679,0.736,1.006,1.056,-0.046,-4.36,-0.103,-9.75,-0.373,-35.32,11.9,67.9,0.023,96,71.4,-0.027,0.041
"86","Round Marsh - No Action",2024,"No Action",10,"Microtidal","Panne","Pre-Restoration",29.85,0,0,0,0,0,0,0,0,0,0,0,25.15,46,54,24.15,0,"Panne",0.679,0.736,1.006,1.056,-0.046,-4.36,-0.103,-9.75,-0.373,-35.32,16,41.4,0.045,74.8,51.7,-0.005,0.103
"87","Round Marsh - Reference",2021,"Reference",7,"Microtidal","Panne","Reference",6.5,0,0,0,0,0,0,0,0,0,0,0,20.1,8.9,91.1,84.3,0.3,"",0.679,0.736,1.006,1.056,0.027,2.56,-0.03,-2.84,-0.3,-28.41,2.4,50,0.048,83.6,58.9,-0.002,0.034
"88","Round Marsh - Reference",2024,"Reference",10,"Microtidal","Panne","Reference",14.3,0,0,0,0,0,0,0,0,0,0,0,46.6,7.4,92.6,78.3,0,"",0.679,0.736,1.006,1.056,0.027,2.56,-0.03,-2.84,-0.3,-28.41,3,19,0.061,61.5,36.2,0.011,0.073
"89","Round Marsh - Runnel",2024,"Runnel",10,"Microtidal","Panne","Older Restoration",31.73,0,0,0,0.53,0,0,0,0,0,0,0,33.6,22.93,77.07,44.6,0.2,"Panne",0.679,0.736,1.006,1.056,-0.031,-2.94,-0.088,-8.33,-0.358,-33.9,9.4,37.9,0.064,67.4,51.7,0.014,0.126
"90","Sapowet - North - Reference",2022,"Reference",4,"Microtidal","Pool","Reference",3.75,0,0,0,0.75,0,0,0,0,0,0,0,24.75,16.5,83.5,77.88,1.12,"",0.543,0.624,0.932,1.056,0.072,6.82,-0.009,-0.85,-0.317,-30.02,1.5,10.3,0.276,2.2,15.5,0.226,0.216
"91","Sapowet - North - Reference",2024,"Reference",6,"Microtidal","Pool","Reference",5.25,0,0,0,0.38,0,0,0,0,0,0.12,0,31.62,19.38,80.62,74.38,0.5,"",0.543,0.624,0.932,1.056,0.072,6.82,-0.009,-0.85,-0.317,-30.02,18.6,35.1,0.078,69,47.4,0.028,0.24
"92","Sapowet - North - Runnel",2022,"Runnel",4,"Microtidal","Pool","Early Restoration",13.67,0,0,2,0.22,0,0,0,0,0,0,0,18.44,51,49,31.89,1.22,"Pool",0.543,0.624,0.932,1.056,0.083,7.86,0.002,0.19,-0.306,-28.98,2.3,10.3,0.187,11.8,13.8,0.137,0.14
"93","Sapowet - North - Runnel",2024,"Runnel",6,"Microtidal","Pool","Older Restoration",43.22,0,0,0,1.78,0,0,0,0,0,0,0,36.89,32.22,67.78,21.56,1.22,"Pool",0.543,0.624,0.932,1.056,0.083,7.86,0.002,0.19,-0.306,-28.98,10.2,33.3,0.091,38.6,43.9,0.041,0.118
"94","Sapowet - South - No Action",2022,"No Action",0,"Microtidal","Pool","Pre-Restoration",28.3,0,0,0,0,0,0,0.2,0,0,0,0,20.6,51.7,48.3,19.8,0,"Pool",0.543,0.624,0.932,1.056,0.123,11.65,0.042,3.98,-0.266,-25.19,1.5,10.3,0.153,2.7,12.1,0.103,0.097
"95","Sapowet - South - No Action",2024,"No Action",2,"Microtidal","Pool","Pre-Restoration",27.8,0,0,0,0.1,0,0,0,0,0,0,0,27.1,51.3,48.7,20.6,0.2,"Pool",0.543,0.624,0.932,1.056,0.123,11.65,0.042,3.98,-0.266,-25.19,29.8,31.6,0.041,73.1,38.6,-0.009,0.106
"96","Sapowet - South - Runnel",2022,"Runnel",0,"Microtidal","Pool","Early Restoration",39.89,0,0,0,1,0,0,0.89,0,0,0,0,20.67,33.67,66.33,20.56,4,"Pool",0.543,0.624,0.932,1.056,0.125,11.84,0.044,4.17,-0.264,-25,5.1,13.8,0.148,13.6,25.9,0.098,0.097
"97","Sapowet - South - Runnel",2024,"Runnel",2,"Microtidal","Pool","Early Restoration",24.11,0,0,0,0.78,0,0,0,0,0,0,0,30.67,55.89,44.11,18.33,0.89,"Pool",0.543,0.624,0.932,1.056,0.125,11.84,0.044,4.17,-0.264,-25,15,43.9,0.072,44.7,50.9,0.022,0.11
"98","Weekapaug - No Action",2021,"No Action",4,"Microtidal","Pool","Pre-Restoration",11.88,0,0,0,0,0,0,0,0,0,0.5,0,25.5,63.12,36.25,21.88,2,"",0.377,0.437,0.755,1.056,-0.202,-19.13,-0.262,-24.81,-0.58,-54.92,94.2,100,-0.04,100,100,-0.09,0.08
"99","Weekapaug - No Action",2024,"No Action",7,"Microtidal","Pool","Pre-Restoration",16.75,0,0,0,0.25,0,0,0,0,0,0,0,27,59.75,40.25,18.88,4.38,"",0.377,0.437,0.755,1.056,-0.202,-19.13,-0.262,-24.81,-0.58,-54.92,31.5,72.4,0.076,69,86.2,0.026,0.126
"100","Weekapaug - Reference",2021,"Reference",4,"Microtidal","Pool","Reference",8.75,0,0,1.25,0.38,0,0,0,0,0,1.62,0,27.75,28.12,71.88,58,1.88,"Pool",0.377,0.437,0.755,1.056,-0.132,-12.5,-0.192,-18.18,-0.51,-48.3,23.5,87.3,0.107,40.4,100,0.057,0.064
"101","Weekapaug - Reference",2024,"Reference",7,"Microtidal","Pool","Reference",10.5,0,0,0.25,0.25,0,0,0,0,0,0.75,0,26,26.5,73.5,57.25,3.5,"Pool",0.377,0.437,0.755,1.056,-0.132,-12.5,-0.192,-18.18,-0.51,-48.3,15.2,56.9,0.109,25.9,69,0.059,0.074
"102","Weekapaug - Runnel",2021,"Runnel",4,"Microtidal","Pool","Early Restoration",38.17,0,0,0.17,0,0,0,0,0,0,0.42,0,22.83,50.67,49.33,10.25,0.33,"Pool",0.377,0.437,0.755,1.056,-0.178,-16.86,-0.238,-22.54,-0.556,-52.65,76.2,96.4,0.003,97.1,100,-0.047,0.077
"103","Weekapaug - Runnel",2024,"Runnel",7,"Microtidal","Pool","Older Restoration",36.33,0,0,0,0,0,0,0,0,0,0.33,0,29.83,50.67,49.33,11.42,1.25,"Pool",0.377,0.437,0.755,1.056,-0.178,-16.86,-0.238,-22.54,-0.556,-52.65,21.8,67.2,0.11,29.1,82.8,0.06,0.171
"104","Winnapaug - No Action",2021,"No Action",8,"Microtidal","Pool","Pre-Restoration",21.25,0,0,0,0.25,0,0,0,0,0,0,0,27,40,60,22.5,16,"",0.387,0.446,0.755,1.056,-0.184,-17.42,-0.243,-23.01,-0.552,-52.27,40.3,96.4,0.032,95.2,100,-0.018,0.044
"105","Winnapaug - No Action",2024,"No Action",11,"Microtidal","Pool","Pre-Restoration",35.62,0,0,0,0.25,0,0,0,0,0,0,0,33.62,32,68,24.5,7.62,"",0.387,0.446,0.755,1.056,-0.184,-17.42,-0.243,-23.01,-0.552,-52.27,86.5,67.2,-0.011,91.7,84.5,-0.061,0.206
"106","Winnapaug - Reference",2021,"Reference",8,"Microtidal","Pool","Reference",9.44,0,0,1.33,0.33,0,0,0,0,0,0.44,0,23.56,20.56,79.44,67.11,0.67,"",0.387,0.446,0.755,1.056,-0.135,-12.78,-0.194,-18.37,-0.503,-47.63,30.3,87.3,0.07,73.9,96.4,0.02,0.079
"107","Winnapaug - Reference",2024,"Reference",11,"Microtidal","Pool","Reference",12.11,0,0,0,0.11,0,0,0,0,0,0.11,0,22.88,31.56,68.44,54.11,2,"",0.387,0.446,0.755,1.056,-0.135,-12.78,-0.194,-18.37,-0.503,-47.63,13.6,58.6,0.145,21.2,67.2,0.095,0.115
"108","Winnapaug - Runnel",2021,"Runnel",8,"Microtidal","Pool","Older Restoration",25.9,0,0,2.5,0.2,0,0,0,0,0,0.6,0,23.6,36.5,63.5,15.2,19,"Pool",0.387,0.446,0.755,1.056,-0.161,-15.25,-0.22,-20.83,-0.529,-50.09,34.1,92.7,0.069,42.2,100,0.019,0.056
"109","Winnapaug - Runnel",2024,"Runnel",11,"Microtidal","Pool","Older Restoration",20.8,0,0,0.5,0,0,0,0,0,0,0.4,0,23.8,50.4,49.6,21.1,6.8,"Pool",0.387,0.446,0.755,1.056,-0.161,-15.25,-0.22,-20.83,-0.529,-50.09,48.8,62.1,0.029,86.5,72.4,-0.021,0.145
