"","Salt_Marsh","Year","Year_0","Time_Since_Restoration","Site","State","Overall_Treatment","Tidal_Regime","Marsh_Condition","Transect","Elevation_mean","SPALT_mean","abiotic_cover_mean","live_cover_mean","high_marsh_grams_mean","algae_cover_mean","richness_mean","Canopy_Height_cm_mean"
"171","Parker River Estuary",2024,2017,7,"Plum Island - DPR","Massachusetts","No Action","Mesotidal","Panne","T1",NA,36.3,37.3,62.7,21,6.1,2.7,32.3
"172","Parker River Estuary",2024,2017,7,"Plum Island - DPR","Massachusetts","No Action","Mesotidal","Panne","T2",NA,50.6,47.6,52.4,0.4,10,1.6,31.2
"173","Parker River Estuary",2024,2017,7,"Plum Island - DPR","Massachusetts","Reference","Mesotidal","Panne","T1",NA,11.6,17.6,82.4,69.6,0,2.6,22.8
"174","Parker River Estuary",2024,2017,7,"Plum Island - DPR","Massachusetts","Reference","Mesotidal","Panne","T2",NA,0,16.8,83.2,79.6,0,2.9,22.4
"175","Parker River Estuary",2024,2017,7,"Plum Island - DPR","Massachusetts","Runnel","Mesotidal","Panne","T1",NA,24.8,27.1,72.9,38.9,0,5.1,46.2
"176","Parker River Estuary",2024,2017,7,"Plum Island - DPR","Massachusetts","Runnel","Mesotidal","Panne","T2",NA,39.6,31.9,68.1,22.4,0,4.6,51.1
"177","Salt Ponds Region",2024,2017,7,"Weekapaug","Rhode Island","No Action","Microtidal","Pool","T1",NA,13.3,75,25,1.7,45,1.7,23.3
"178","Salt Ponds Region",2024,2017,7,"Weekapaug","Rhode Island","No Action","Microtidal","Pool","T2",NA,18.8,50.6,49.4,29.2,0.6,2.4,29.2
"179","Salt Ponds Region",2024,2017,7,"Weekapaug","Rhode Island","Reference","Microtidal","Pool","T1",NA,13.3,23.7,76.3,57.7,0,5.3,29.3
"180","Salt Ponds Region",2024,2017,7,"Weekapaug","Rhode Island","Reference","Microtidal","Pool","T2",NA,8.8,28.2,71.8,57,2.6,3.8,24
"181","Salt Ponds Region",2024,2017,7,"Weekapaug","Rhode Island","Runnel","Microtidal","Pool","T1",NA,35,43,57,19.2,3.8,2.8,23.2
"182","Salt Ponds Region",2024,2017,7,"Weekapaug","Rhode Island","Runnel","Microtidal","Pool","T2",NA,37,54.5,45.5,7.5,29.1,1.4,33.1
"183","Taunton River",2024,2017,7,"Broad Cove","Rhode Island","Reference","Microtidal","Panne","T1",NA,0,3.5,96.5,85.2,0,3.8,26.8
"184","Taunton River",2024,2017,7,"Broad Cove","Rhode Island","Reference","Microtidal","Panne","T2",NA,2,5.8,94.2,72.2,0,3.6,48
"185","Taunton River",2024,2017,7,"Broad Cove","Rhode Island","Runnel","Microtidal","Panne","T1",NA,0,7.8,92.2,54.6,0,4.4,69
"186","Taunton River",2024,2017,7,"Broad Cove","Rhode Island","Runnel","Microtidal","Panne","T2",NA,0,13.5,86.5,73,0,3.2,43.8
"187","Narragansett Bay",2024,2018,6,"Sapowet","Rhode Island","Reference","Microtidal","Pool","T1",NA,0.5,23,77,75,0,3,30.2
"188","Narragansett Bay",2024,2018,6,"Sapowet","Rhode Island","Reference","Microtidal","Pool","T2",NA,10,15.8,84.2,73.8,0,2.2,33
"189","Narragansett Bay",2024,2018,6,"Sapowet","Rhode Island","Runnel","Microtidal","Pool","T1",NA,23.3,33.3,66.7,41.3,0,2.7,37.3
"190","Narragansett Bay",2024,2018,6,"Sapowet","Rhode Island","Runnel","Microtidal","Pool","T2",NA,53.2,31.7,68.3,11.7,0,2.7,36.7
"191","Salt Ponds Region",2024,2018,6,"Potters Pond","Rhode Island","No Action","Microtidal","Pool","T1",NA,21.7,61.7,38.3,15,1.7,1.7,18.7
"192","Salt Ponds Region",2024,2018,6,"Potters Pond","Rhode Island","Reference","Microtidal","Pool","T1",NA,36.7,19.7,80.3,43.5,0,2.2,26.5
"193","Salt Ponds Region",2024,2018,6,"Potters Pond","Rhode Island","Reference","Microtidal","Pool","T2",NA,17.7,26.7,73.3,43.3,0,4,46.7
"194","Salt Ponds Region",2024,2018,6,"Potters Pond","Rhode Island","Runnel","Microtidal","Pool","T1",NA,47.5,29.2,70.8,19,0.9,2.6,NA
"195","Salt Ponds Region",2024,2018,6,"Potters Pond","Rhode Island","Runnel","Microtidal","Pool","T2",NA,39,55.6,44.4,0.4,0.8,1.4,17.6
"196","Salt Ponds Region",2024,2018,6,"Potters Pond","Rhode Island","Runnel","Microtidal","Pool","T3",NA,10.5,61.7,38.3,20.5,2.5,1.5,14
"197","Parker River Estuary",2024,2020,4,"Old Town Hill","Massachusetts","No Action","Mesotidal","Panne","T1",NA,36.4,44.8,55.2,5.2,0,1.8,37.8
"198","Parker River Estuary",2024,2020,4,"Old Town Hill","Massachusetts","No Action","Mesotidal","Panne","T2",NA,26.5,47.7,52.3,10.5,0,1.8,62.5
"199","Parker River Estuary",2024,2020,4,"Old Town Hill","Massachusetts","Reference","Mesotidal","Panne","T1",NA,3.5,12,88,81.3,0,3.7,32
"200","Parker River Estuary",2024,2020,4,"Old Town Hill","Massachusetts","Reference","Mesotidal","Panne","T2",NA,1.7,8.2,91.8,87.3,0,3.8,32
"201","Parker River Estuary",2024,2020,4,"Old Town Hill","Massachusetts","Runnel","Mesotidal","Panne","T1",NA,45.9,24.9,75.1,25.1,0,2.6,32.8
"202","Parker River Estuary",2024,2020,4,"Old Town Hill","Massachusetts","Runnel","Mesotidal","Panne","T2",NA,37.1,29.7,70.3,31,0,2.7,34.1
"203","Parker River Estuary",2024,2020,4,"Old Town Hill","Massachusetts","Runnel","Mesotidal","Panne","T3",NA,56.2,34.5,65.5,8.3,0,1.5,38.3
"204","Parker River Estuary",2024,2020,4,"Old Town Hill","Massachusetts","Runnel","Mesotidal","Panne","T4",NA,40.3,18.7,81.3,38.5,0,3,32.5
"205","Great Marsh",2024,2022,2,"Essex","Massachusetts","No Action","Mesotidal","Pool","T1",NA,25.4,35,65,32.3,0.3,2.6,24.6
"206","Great Marsh",2024,2022,2,"Essex","Massachusetts","No Action","Mesotidal","Pool","T2",NA,23.4,42.8,57.2,33,0,2.4,26.4
"207","Great Marsh",2024,2022,2,"Essex","Massachusetts","Reference","Mesotidal","Pool","T1",NA,0,47.4,52.6,52,0,2,20.6
"208","Great Marsh",2024,2022,2,"Essex","Massachusetts","Reference","Mesotidal","Pool","T2",NA,7.5,13.2,86.8,78.8,0,2.8,25
"209","Great Marsh",2024,2022,2,"Essex","Massachusetts","Runnel","Mesotidal","Pool","T1",NA,39.1,39.3,60.7,13.3,0.9,3.1,33.2
"210","Great Marsh",2024,2022,2,"Essex","Massachusetts","Runnel","Mesotidal","Pool","T2",NA,64.7,29.5,70.5,2.5,0,1.5,46.3
"211","Great Marsh",2024,2022,2,"Ipswich","Massachusetts","No Action","Mesotidal","Panne","T1",NA,31.4,44.9,55.1,22.6,5,2.3,19.4
"212","Great Marsh",2024,2022,2,"Ipswich","Massachusetts","No Action","Mesotidal","Panne","T2",NA,27.6,61.6,38.4,10.6,0.8,1.4,18
"213","Great Marsh",2024,2022,2,"Ipswich","Massachusetts","Reference","Mesotidal","Panne","T1",NA,9.4,9,91,81.2,0,2.8,18.2
"214","Great Marsh",2024,2022,2,"Ipswich","Massachusetts","Reference","Mesotidal","Panne","T2",NA,4.4,15.6,84.4,78.6,0,3.6,23.2
"215","Great Marsh",2024,2022,2,"Ipswich","Massachusetts","Runnel","Mesotidal","Panne","T1",NA,41.4,55.1,44.9,2.4,0.7,1.7,21.4
"216","Great Marsh",2024,2022,2,"Ipswich","Massachusetts","Runnel","Mesotidal","Panne","T2",NA,27.8,61,39,10.6,5,2.2,18.8
"217","Narragansett Bay",2024,2022,2,"Sapowet","Rhode Island","No Action","Microtidal","Pool","T1",NA,32,50.8,49.2,17,0,1.6,27
"218","Narragansett Bay",2024,2022,2,"Sapowet","Rhode Island","No Action","Microtidal","Pool","T2",NA,23.6,51.8,48.2,24.2,3,2,27.2
"219","Narragansett Bay",2024,2022,2,"Sapowet","Rhode Island","Runnel","Microtidal","Pool","T1",NA,36,28.8,71.2,33,0,3,36.8
"220","Narragansett Bay",2024,2022,2,"Sapowet","Rhode Island","Runnel","Microtidal","Pool","T2",NA,9.2,89.8,10.2,0,2.5,0.8,23
"221","Parker River Estuary",2024,2022,2,"Kents Island","Massachusetts","No Action","Mesotidal","Panne","T1",NA,46.1,45.1,54.9,8.1,0,1.6,31
"222","Parker River Estuary",2024,2022,2,"Kents Island","Massachusetts","No Action","Mesotidal","Panne","T2",NA,52.4,36.1,63.9,10.8,0,1.6,28.9
"223","Parker River Estuary",2024,2022,2,"Kents Island","Massachusetts","Reference","Mesotidal","Panne","T1",NA,1.3,9.6,90.4,84.3,0,2.9,16.9
"224","Parker River Estuary",2024,2022,2,"Kents Island","Massachusetts","Reference","Mesotidal","Panne","T2",NA,16,8.8,91.2,72,0,4.5,35.2
"225","Parker River Estuary",2024,2022,2,"Kents Island","Massachusetts","Runnel","Mesotidal","Panne","T1",NA,44,34.4,65.6,19.2,0,2.2,36.8
"226","Parker River Estuary",2024,2022,2,"Kents Island","Massachusetts","Runnel","Mesotidal","Panne","T2",NA,47.4,33.6,66.4,18,0.7,2.1,32.9
"227","Parker River Estuary",2024,2022,2,"Plum Island - PLHA","Massachusetts","No Action","Mesotidal","Pool","T1",NA,44.8,35.6,64.4,16,2.6,2.2,43.2
"228","Parker River Estuary",2024,2022,2,"Plum Island - PLHA","Massachusetts","No Action","Mesotidal","Pool","T2",NA,26,29.2,70.8,44,0,2.2,33.5
"229","Parker River Estuary",2024,2022,2,"Plum Island - PLHA","Massachusetts","Reference","Mesotidal","Pool","T1",NA,4.5,10.3,89.7,76.4,0,4.4,20.7
"230","Parker River Estuary",2024,2022,2,"Plum Island - PLHA","Massachusetts","Reference","Mesotidal","Pool","T2",NA,4,17.9,82.1,76.6,0,3.1,24.5
"231","Parker River Estuary",2024,2022,2,"Plum Island - PLHA","Massachusetts","Runnel","Mesotidal","Pool","T1",NA,20.8,43.4,56.6,30.7,7.8,2.4,32.3
"232","Parker River Estuary",2024,2022,2,"Plum Island - PLHA","Massachusetts","Runnel","Mesotidal","Pool","T2",NA,35.4,48.4,51.6,13.7,0,1.9,38.9
